time,plasma conc,CE_SI,CE_alpha,CE_beta,CE_LZc
330,0.044520036,0.048991689,0.05235819,0.049719155,0.051846565
332,0.044332784,0.048786408,0.052203923,0.049513631,0.051660455
334,0.044146371,0.048581956,0.052049022,0.049308833,0.051474327
336,0.043960792,0.048378334,0.051893516,0.049104765,0.051288202
338,0.043776045,0.048175542,0.051737434,0.048901432,0.051102101
340,0.043592125,0.04797358,0.051580802,0.048698836,0.050916045
342,0.043409029,0.047772447,0.051423647,0.048496981,0.050730053
344,0.043226752,0.047572145,0.051265996,0.048295871,0.050544143
346,0.043045292,0.047372671,0.051107874,0.048095508,0.050358336
348,0.042864644,0.047174026,0.050949306,0.047895895,0.050172647
350,0.042684804,0.046976208,0.050790317,0.047697034,0.049987095
352,0.04250577,0.046779216,0.05063093,0.047498927,0.049801696
354,0.042327536,0.04658305,0.050471169,0.047301576,0.049616467
356,0.042150101,0.046387709,0.050311056,0.047104984,0.049431424
358,0.041973459,0.04619319,0.050150614,0.04690915,0.049246581
360,0.041797607,0.045999493,0.049989864,0.046714077,0.049061954
362,0.041622542,0.045806616,0.049828829,0.046519766,0.048877557
364,0.04144826,0.045614557,0.049667528,0.046326218,0.048693404
366,0.041274758,0.045423316,0.049505983,0.046133432,0.048509508
368,0.041102031,0.045232889,0.049344213,0.045941411,0.048325883
370,0.040930077,0.045043276,0.049182237,0.045750154,0.048142541
372,0.040758892,0.044854475,0.049020075,0.045559661,0.047959494
374,0.040588472,0.044666482,0.048857745,0.045369933,0.047776754
376,0.040418814,0.044479297,0.048695264,0.045180969,0.047594333
378,0.040249914,0.044292917,0.048532652,0.04499277,0.047412241
380,0.04008177,0.04410734,0.048369924,0.044805334,0.04723049
382,0.039914376,0.043922564,0.048207099,0.044618663,0.04704909
384,0.039747731,0.043738586,0.048044192,0.044432755,0.04686805
386,0.03958183,0.043555404,0.047881219,0.044247609,0.046687381
388,0.03941667,0.043373016,0.047718197,0.044063224,0.046507091
390,0.039252248,0.043191419,0.04755514,0.043879601,0.04632719
392,0.039088561,0.043010611,0.047392064,0.043696737,0.046147687
394,0.038925604,0.04283059,0.047228984,0.043514633,0.04596859
396,0.038763376,0.042651352,0.047065912,0.043333286,0.045789906
398,0.038601871,0.042472895,0.046902865,0.043152695,0.045611645
400,0.038441088,0.042295217,0.046739854,0.04297286,0.045433812
402,0.038281023,0.042118314,0.046576894,0.042793779,0.045256417
404,0.038121672,0.041942185,0.046413997,0.042615449,0.045079465
406,0.037963032,0.041766826,0.046251175,0.042437871,0.044902963
408,0.0378051,0.041592235,0.046088442,0.042261041,0.044726918
410,0.037647873,0.041418409,0.04592581,0.04208496,0.044551337
